model,seed,k,completion_time_s
onoff,72,1,0.09019999999999823
onoff,72,2,0.06645000000000084
onoff,72,4,0.04560000000000079
onoff,72,8,0.028850000000000313
onoff,73,1,0.08169999999999916
onoff,73,2,0.048450000000000874
onoff,73,4,0.041100000000000664
onoff,73,8,0.03015000000000035
onoff,74,1,0.08989999999999826
onoff,74,2,0.04695000000000083
onoff,74,4,0.030650000000000364
onoff,74,8,0.03670000000000054
onoff,75,1,0.07729999999999965
onoff,75,2,0.042200000000000695
onoff,75,4,0.03815000000000058
onoff,75,8,0.029600000000000334
onoff,76,1,0.0877499999999985
onoff,76,2,0.06995000000000046
onoff,76,4,0.040050000000000634
onoff,76,8,0.029700000000000337
onoff,77,1,0.10464999999999663
onoff,77,2,0.05015000000000092
onoff,77,4,0.03950000000000062
onoff,77,8,0.03365000000000045
onoff,78,1,0.08114999999999922
onoff,78,2,0.04785000000000086
onoff,78,4,0.04785000000000086
onoff,78,8,0.034150000000000465
onoff,79,1,0.06530000000000097
onoff,79,2,0.051250000000000955
onoff,79,4,0.05345000000000102
onoff,79,8,0.028250000000000296
onoff,80,1,0.07075000000000037
onoff,80,2,0.04380000000000074
onoff,80,4,0.04315000000000072
onoff,80,8,0.0319500000000004
onoff,81,1,0.0903999999999982
onoff,81,2,0.05450000000000105
onoff,81,4,0.042850000000000714
onoff,81,8,0.03250000000000042
onoff,82,1,0.10184999999999694
onoff,82,2,0.05740000000000113
onoff,82,4,0.04160000000000068
onoff,82,8,0.034550000000000476
onoff,83,1,0.0803999999999993
onoff,83,2,0.050200000000000924
onoff,83,4,0.037350000000000556
onoff,83,8,0.028500000000000303
onoff,84,1,0.11694999999999528
onoff,84,2,0.08564999999999873
onoff,84,4,0.05595000000000109
onoff,84,8,0.03670000000000054
onoff,85,1,0.08609999999999868
onoff,85,2,0.05110000000000095
onoff,85,4,0.045000000000000775
onoff,85,8,0.0318500000000004
onoff,86,1,0.11934999999999502
onoff,86,2,0.08054999999999929
onoff,86,4,0.057600000000001136
onoff,86,8,0.039750000000000625
onoff,87,1,0.062050000000001264
onoff,87,2,0.053400000000001016
onoff,87,4,0.03740000000000056
onoff,87,8,0.031050000000000376
onoff,88,1,0.09074999999999817
onoff,88,2,0.05145000000000096
onoff,88,4,0.042500000000000704
onoff,88,8,0.03265000000000042
onoff,89,1,0.09574999999999761
onoff,89,2,0.07989999999999936
onoff,89,4,0.0422500000000007
onoff,89,8,0.04405000000000075
onoff,90,1,0.1004499999999971
onoff,90,2,0.053350000000001015
onoff,90,4,0.03055000000000036
onoff,90,8,0.028900000000000314
onoff,91,1,0.083199999999999
onoff,91,2,0.04765000000000085
onoff,91,4,0.04275000000000071
onoff,91,8,0.02975000000000034
onoff,92,1,0.07629999999999976
onoff,92,2,0.0494000000000009
onoff,92,4,0.040750000000000654
onoff,92,8,0.03155000000000039
onoff,93,1,0.10419999999999668
onoff,93,2,0.09179999999999805
onoff,93,4,0.04905000000000089
onoff,93,8,0.03410000000000046
onoff,94,1,0.0958999999999976
onoff,94,2,0.0958999999999976
onoff,94,4,0.06510000000000099
onoff,94,8,0.04825000000000087
onoff,95,1,0.07839999999999953
onoff,95,2,0.0564000000000011
onoff,95,4,0.047050000000000834
onoff,95,8,0.038750000000000596
onoff,96,1,0.06785000000000069
onoff,96,2,0.05695000000000112
onoff,96,4,0.0388000000000006
onoff,96,8,0.0353500000000005
onoff,97,1,0.10089999999999705
onoff,97,2,0.06915000000000054
onoff,97,4,0.065050000000001
onoff,97,8,0.03320000000000044
onoff,98,1,0.09024999999999822
onoff,98,2,0.07080000000000036
onoff,98,4,0.039450000000000617
onoff,98,8,0.034150000000000465
onoff,99,1,0.09839999999999732
onoff,99,2,0.0632500000000012
onoff,99,4,0.043200000000000724
onoff,99,8,0.028150000000000293
iid,0,1,0.024100000000000177
iid,0,2,0.02350000000000016
iid,0,4,0.022300000000000125
iid,0,8,0.021900000000000114
iid,1,1,0.02420000000000018
iid,1,2,0.023350000000000155
iid,1,4,0.022200000000000122
iid,1,8,0.021850000000000112
iid,2,1,0.02415000000000018
iid,2,2,0.02280000000000014
iid,2,4,0.022300000000000125
iid,2,8,0.02175000000000011
iid,3,1,0.04490000000000077
iid,3,2,0.022550000000000132
iid,3,4,0.022050000000000118
iid,3,8,0.021950000000000115
iid,4,1,0.0249000000000002
iid,4,2,0.02280000000000014
iid,4,4,0.022200000000000122
iid,4,8,0.022000000000000117
iid,5,1,0.025750000000000224
iid,5,2,0.023750000000000167
iid,5,4,0.022300000000000125
iid,5,8,0.02210000000000012
iid,6,1,0.0249000000000002
iid,6,2,0.023450000000000158
iid,6,4,0.02210000000000012
iid,6,8,0.022000000000000117
iid,7,1,0.02520000000000021
iid,7,2,0.02315000000000015
iid,7,4,0.02215000000000012
iid,7,8,0.021900000000000114
iid,8,1,0.04750000000000085
iid,8,2,0.023750000000000167
iid,8,4,0.022300000000000125
iid,8,8,0.02175000000000011
iid,9,1,0.02460000000000019
iid,9,2,0.02425000000000018
iid,9,4,0.022250000000000124
iid,9,8,0.02215000000000012
iid,10,1,0.02390000000000017
iid,10,2,0.022650000000000135
iid,10,4,0.022650000000000135
iid,10,8,0.02180000000000011
iid,11,1,0.024300000000000183
iid,11,2,0.022900000000000142
iid,11,4,0.022050000000000118
iid,11,8,0.022050000000000118
iid,12,1,0.0248500000000002
iid,12,2,0.02285000000000014
iid,12,4,0.02210000000000012
iid,12,8,0.021950000000000115
iid,13,1,0.02455000000000019
iid,13,2,0.023350000000000155
iid,13,4,0.022250000000000124
iid,13,8,0.02210000000000012
iid,14,1,0.0248500000000002
iid,14,2,0.022900000000000142
iid,14,4,0.022400000000000128
iid,14,8,0.022000000000000117
iid,15,1,0.024700000000000194
iid,15,2,0.023650000000000164
iid,15,4,0.02215000000000012
iid,15,8,0.02210000000000012
iid,16,1,0.024100000000000177
