pair_id,arm_id,sample_id,allocator,corrected_completion_time_s,corrected_completion_time_hex,corrected_simulated_ticks,historical_completion_time_s,historical_completion_time_hex,historical_simulated_ticks,corrected_minus_historical_s,corrected_minus_historical_ticks,relative_delta,completion_binary64_equal
a055_proportional_3tier_nb_p64_k8__s025,proportional_3tier_nb_p64_k8,25,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s025,proportional_3tier_nb_p64_k8,25,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s026,proportional_3tier_nb_p64_k8,26,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s026,proportional_3tier_nb_p64_k8,26,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s027,proportional_3tier_nb_p64_k8,27,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s027,proportional_3tier_nb_p64_k8,27,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s028,proportional_3tier_nb_p64_k8,28,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s028,proportional_3tier_nb_p64_k8,28,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s029,proportional_3tier_nb_p64_k8,29,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s029,proportional_3tier_nb_p64_k8,29,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s030,proportional_3tier_nb_p64_k8,30,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s030,proportional_3tier_nb_p64_k8,30,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s031,proportional_3tier_nb_p64_k8,31,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s031,proportional_3tier_nb_p64_k8,31,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s032,proportional_3tier_nb_p64_k8,32,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s032,proportional_3tier_nb_p64_k8,32,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s033,proportional_3tier_nb_p64_k8,33,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s033,proportional_3tier_nb_p64_k8,33,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s034,proportional_3tier_nb_p64_k8,34,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s034,proportional_3tier_nb_p64_k8,34,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s035,proportional_3tier_nb_p64_k8,35,link_local_equal_share,0.005699999999999993,3f7758e219652bcc,114,0.005699999999999993,3f7758e219652bcc,114,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s035,proportional_3tier_nb_p64_k8,35,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s036,proportional_3tier_nb_p64_k8,36,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s036,proportional_3tier_nb_p64_k8,36,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s037,proportional_3tier_nb_p64_k8,37,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s037,proportional_3tier_nb_p64_k8,37,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s038,proportional_3tier_nb_p64_k8,38,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s038,proportional_3tier_nb_p64_k8,38,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s039,proportional_3tier_nb_p64_k8,39,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s039,proportional_3tier_nb_p64_k8,39,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s040,proportional_3tier_nb_p64_k8,40,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s040,proportional_3tier_nb_p64_k8,40,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s041,proportional_3tier_nb_p64_k8,41,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s041,proportional_3tier_nb_p64_k8,41,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s042,proportional_3tier_nb_p64_k8,42,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s042,proportional_3tier_nb_p64_k8,42,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s043,proportional_3tier_nb_p64_k8,43,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s043,proportional_3tier_nb_p64_k8,43,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s044,proportional_3tier_nb_p64_k8,44,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s044,proportional_3tier_nb_p64_k8,44,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s045,proportional_3tier_nb_p64_k8,45,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s045,proportional_3tier_nb_p64_k8,45,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s046,proportional_3tier_nb_p64_k8,46,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s046,proportional_3tier_nb_p64_k8,46,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s047,proportional_3tier_nb_p64_k8,47,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s047,proportional_3tier_nb_p64_k8,47,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s048,proportional_3tier_nb_p64_k8,48,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s048,proportional_3tier_nb_p64_k8,48,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s049,proportional_3tier_nb_p64_k8,49,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s049,proportional_3tier_nb_p64_k8,49,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s050,proportional_3tier_nb_p64_k8,50,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s050,proportional_3tier_nb_p64_k8,50,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s051,proportional_3tier_nb_p64_k8,51,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s051,proportional_3tier_nb_p64_k8,51,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s052,proportional_3tier_nb_p64_k8,52,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s052,proportional_3tier_nb_p64_k8,52,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s053,proportional_3tier_nb_p64_k8,53,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a055_proportional_3tier_nb_p64_k8__s053,proportional_3tier_nb_p64_k8,53,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
