model,seed,k,completion_time_s
iid,54,8,0.021600000000000105
iid,55,1,0.02250000000000013
iid,55,2,0.021850000000000112
iid,55,4,0.021700000000000108
iid,55,8,0.021700000000000108
iid,56,1,0.022700000000000137
iid,56,2,0.021950000000000115
iid,56,4,0.021950000000000115
iid,56,8,0.02215000000000012
iid,57,1,0.022700000000000137
iid,57,2,0.02175000000000011
iid,57,4,0.021550000000000104
iid,57,8,0.021550000000000104
iid,58,1,0.022900000000000142
iid,58,2,0.02175000000000011
iid,58,4,0.02175000000000011
iid,58,8,0.021650000000000107
iid,59,1,0.023000000000000145
iid,59,2,0.02180000000000011
iid,59,4,0.02180000000000011
iid,59,8,0.021650000000000107
iid,60,1,0.022700000000000137
iid,60,2,0.021950000000000115
iid,60,4,0.02180000000000011
iid,60,8,0.021950000000000115
iid,61,1,0.023100000000000148
iid,61,2,0.02215000000000012
iid,61,4,0.02215000000000012
iid,61,8,0.02210000000000012
iid,62,1,0.023700000000000165
iid,62,2,0.022200000000000122
iid,62,4,0.021950000000000115
iid,62,8,0.021600000000000105
iid,63,1,0.022900000000000142
iid,63,2,0.02215000000000012
iid,63,4,0.022000000000000117
iid,63,8,0.02215000000000012
iid,64,1,0.02280000000000014
iid,64,2,0.021900000000000114
iid,64,4,0.021900000000000114
iid,64,8,0.02180000000000011
iid,65,1,0.022900000000000142
iid,65,2,0.02180000000000011
iid,65,4,0.02180000000000011
iid,65,8,0.021600000000000105
iid,66,1,0.022950000000000144
iid,66,2,0.022300000000000125
iid,66,4,0.021950000000000115
iid,66,8,0.02180000000000011
iid,67,1,0.02280000000000014
iid,67,2,0.02175000000000011
iid,67,4,0.021650000000000107
iid,67,8,0.021600000000000105
iid,68,1,0.021500000000000102
iid,68,2,0.021650000000000107
iid,68,4,0.021650000000000107
iid,68,8,0.02175000000000011
iid,69,1,0.02280000000000014
iid,69,2,0.022300000000000125
iid,69,4,0.021900000000000114
iid,69,8,0.02175000000000011
iid,70,1,0.022650000000000135
iid,70,2,0.021900000000000114
iid,70,4,0.021600000000000105
iid,70,8,0.021650000000000107
iid,71,1,0.02315000000000015
iid,71,2,0.022050000000000118
iid,71,4,0.022050000000000118
iid,71,8,0.022000000000000117
iid,72,1,0.023300000000000154
iid,72,2,0.02215000000000012
iid,72,4,0.02175000000000011
iid,72,8,0.021600000000000105
iid,73,1,0.021500000000000102
iid,73,2,0.021500000000000102
iid,73,4,0.021500000000000102
iid,73,8,0.021500000000000102
iid,74,1,0.021500000000000102
iid,74,2,0.021500000000000102
iid,74,4,0.021550000000000104
iid,74,8,0.021600000000000105
iid,75,1,0.02285000000000014
iid,75,2,0.02210000000000012
iid,75,4,0.02210000000000012
iid,75,8,0.022050000000000118
iid,76,1,0.021500000000000102
iid,76,2,0.021500000000000102
iid,76,4,0.021550000000000104
iid,76,8,0.021600000000000105
iid,77,1,0.021500000000000102
iid,77,2,0.02180000000000011
iid,77,4,0.02180000000000011
iid,77,8,0.021950000000000115
iid,78,1,0.021500000000000102
iid,78,2,0.02175000000000011
iid,78,4,0.02175000000000011
iid,78,8,0.021850000000000112
iid,79,1,0.021500000000000102
iid,79,2,0.021700000000000108
iid,79,4,0.021600000000000105
iid,79,8,0.021550000000000104
iid,80,1,0.023950000000000173
iid,80,2,0.022400000000000128
iid,80,4,0.022400000000000128
iid,80,8,0.022200000000000122
iid,81,1,0.02285000000000014
iid,81,2,0.02180000000000011
iid,81,4,0.02175000000000011
iid,81,8,0.021850000000000112
iid,82,1,0.022650000000000135
iid,82,2,0.021900000000000114
iid,82,4,0.021900000000000114
iid,82,8,0.022000000000000117
