run,k,completion_time_s
198,4,0.06570000000000092
198,8,0.04760000000000085
199,1,0.13244999999999357
199,2,0.09504999999999769
199,4,0.06940000000000052
199,8,0.04735000000000084
202,1,0.11534999999999546
202,2,0.10164999999999697
202,4,0.0813499999999992
202,8,0.05945000000000119
203,1,0.11819999999999514
203,2,0.07629999999999976
203,4,0.06925000000000053
203,8,0.046750000000000826
200,1,0.1231499999999946
200,2,0.09794999999999737
200,4,0.07255000000000017
200,8,0.05175000000000097
201,1,0.13369999999999344
201,2,0.08454999999999885
201,4,0.06520000000000098
201,8,0.052800000000001
204,1,0.12269999999999465
204,2,0.08429999999999888
204,4,0.06150000000000125
204,8,0.038650000000000594
205,1,0.1349499999999933
205,2,0.07894999999999947
205,4,0.06535000000000096
205,8,0.04860000000000088
206,1,0.11919999999999503
206,2,0.07370000000000004
206,4,0.06335000000000118
206,8,0.04540000000000079
207,1,0.12339999999999457
207,2,0.11394999999999561
207,4,0.06820000000000065
207,8,0.04490000000000077
208,1,0.13019999999999382
208,2,0.09794999999999737
208,4,0.0564500000000011
208,8,0.04760000000000085
209,1,0.14649999999999203
209,2,0.08749999999999852
209,4,0.04685000000000083
209,8,0.05735000000000113
210,1,0.21434999999998455
210,2,0.13149999999999368
210,4,0.06745000000000073
210,8,0.0493000000000009
211,1,0.1157999999999954
211,2,0.08669999999999861
211,4,0.07754999999999962
211,8,0.05420000000000104
214,1,0.1385999999999929
214,2,0.08194999999999913
214,4,0.06650000000000084
214,8,0.043550000000000734
215,1,0.14449999999999225
215,2,0.0859499999999987
215,4,0.06055000000000122
215,8,0.04900000000000089
212,1,0.1267499999999942
212,2,0.09194999999999803
212,4,0.06185000000000126
212,8,0.05505000000000106
213,1,0.15884999999999067
213,2,0.10424999999999668
213,4,0.059000000000001177
213,8,0.06055000000000122
216,1,0.12424999999999448
216,2,0.0804999999999993
216,4,0.0640500000000011
216,8,0.03985000000000063
217,1,0.12374999999999453
217,2,0.0886499999999984
217,4,0.06880000000000058
217,8,0.048450000000000874
218,1,0.14059999999999268
218,2,0.08194999999999913
218,4,0.07255000000000017
218,8,0.05380000000000103
219,1,0.1230999999999946
219,2,0.10119999999999701
219,4,0.07060000000000038
219,8,0.051650000000000966
222,1,0.1338999999999934
222,2,0.07419999999999999
222,4,0.06430000000000108
222,8,0.04095000000000066
223,1,0.15014999999999162
223,2,0.08919999999999834
223,4,0.0599000000000012
223,8,0.048500000000000876
220,1,0.16539999999998994
220,2,0.08264999999999906
220,4,0.05005000000000092
220,8,0.04765000000000085
221,1,0.1267999999999942
221,2,0.12164999999999476
221,4,0.0659000000000009
221,8,0.04715000000000084
226,1,0.13184999999999364
226,2,0.07419999999999999
226,4,0.07000000000000045
226,8,0.050900000000000944
227,1,0.1403499999999927
227,2,0.06600000000000089
227,4,0.0598000000000012
227,8,0.056150000000001095
228,1,0.1213499999999948
228,2,0.07839999999999953
228,4,0.055500000000001076
228,8,0.04690000000000083
229,1,0.14899999999999175
229,2,0.07704999999999967
229,4,0.057550000000001135
229,8,0.05255000000000099
224,1,0.1549999999999911
224,2,0.08659999999999862
224,4,0.07060000000000038
224,8,0.04715000000000084
225,1,0.11429999999999557
225,2,0.07614999999999977
225,4,0.07924999999999943
225,8,0.052850000000001
230,1,0.16174999999999035
230,2,0.07085000000000036
230,4,0.050550000000000934
230,8,0.05170000000000097
231,1,0.16894999999998955
231,2,0.08349999999999896
231,4,0.06180000000000126
231,8,0.05065000000000094
232,1,0.137599999999993
232,2,0.0949499999999977
232,4,0.05770000000000114
232,8,0.04720000000000084
233,1,0.16644999999998983
233,2,0.09944999999999721
233,4,0.07125000000000031
233,8,0.05105000000000095
234,1,0.15324999999999128
234,2,0.11509999999999548
234,4,0.06435000000000107
234,8,0.04100000000000066
235,1,0.13614999999999317
235,2,0.11169999999999586
235,4,0.06430000000000108
235,8,0.03920000000000061
236,1,0.17144999999998928
236,2,0.11604999999999538
236,4,0.06645000000000084
236,8,0.0459000000000008
237,1,0.12369999999999454
237,2,0.10069999999999707
237,4,0.05470000000000105
237,8,0.047100000000000836
238,1,0.1475999999999919
238,2,0.0795999999999994
238,4,0.05530000000000107
238,8,0.04340000000000073
239,1,0.17419999999998897
239,2,0.10049999999999709
239,4,0.05395000000000103
239,8,0.0459500000000008
240,1,0.13749999999999302
240,2,0.08644999999999864
240,4,0.07120000000000032
240,8,0.054800000000001056
241,1,0.12744999999999412
241,2,0.07424999999999998
241,4,0.05435000000000104
241,8,0.03780000000000057
242,1,0.11694999999999528
242,2,0.09759999999999741
242,4,0.06040000000000122
242,8,0.06435000000000107
243,1,0.12714999999999416
243,2,0.08779999999999849
243,4,0.06400000000000111
243,8,0.05085000000000094
248,1,0.1440499999999923
248,2,0.12014999999999493
248,4,0.07290000000000013
248,8,0.04485000000000077
249,1,0.11214999999999581
249,2,0.08274999999999905
249,4,0.05485000000000106
249,8,0.04375000000000074
244,1,0.1412499999999926
244,2,0.09699999999999748
244,4,0.07250000000000018
244,8,0.05565000000000108
245,1,0.12004999999999494
245,2,0.09599999999999759
245,4,0.0687000000000006
245,8,0.047800000000000856
246,1,0.1431999999999924
246,2,0.07245000000000018
246,4,0.06080000000000123
246,8,0.047100000000000836
247,1,0.13339999999999347
247,2,0.09899999999999726
247,4,0.06645000000000084
247,8,0.06570000000000092
250,1,0.1295499999999939
250,2,0.09639999999999754
250,4,0.0598500000000012
250,8,0.042550000000000705
251,1,0.11349999999999566
251,2,0.08164999999999917
251,4,0.06570000000000092
251,8,0.04200000000000069
256,1,0.15139999999999149
256,2,0.08354999999999896
256,4,0.07899999999999946
256,8,0.042850000000000714
257,1,0.12184999999999474
257,2,0.08599999999999869
257,4,0.06845000000000062
257,8,0.04130000000000067
252,1,0.13649999999999313
252,2,0.14269999999999244
252,4,0.09264999999999796
