fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
3tier_os2,16,5,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,125,2
3tier_os2,16,5,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,234,2
3tier_os4,16,5,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,32,1
3tier_os4,16,5,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,64,1
3tier_os4,16,5,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,125,2
3tier_os4,16,5,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,234,2
2tier,16,5,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
2tier,16,5,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,56,2
2tier,16,5,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,93,3
2tier,16,5,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,145,5
3tier_nb,64,5,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,122,2
3tier_nb,64,5,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,232,2
3tier_nb,64,5,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,440,3
3tier_nb,64,5,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,768,4
3tier_os2,64,5,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,122,2
3tier_os2,64,5,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,232,2
3tier_os2,64,5,4,0.008099999999999979,0.006442450944,0.25728547573089267,10416666666.666666,440,3
3tier_os2,64,5,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,768,4
3tier_os4,64,5,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,122,2
3tier_os4,64,5,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,232,2
3tier_os4,64,5,4,0.01614999999999995,0.011713547170909092,0.3787454615036603,5729166666.666666,440,3
3tier_os4,64,5,8,0.010749999999999963,0.0067815273094736835,0.5851886322100903,9895833333.333334,768,4
2tier,64,5,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,101,2
2tier,64,5,2,0.013449999999999946,0.0134217728,0.002103090286250886,5000000000.0,161,5
2tier,64,5,4,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,212,8
2tier,64,5,8,0.008749999999999975,0.006696090744944883,0.30673258969879713,10022095959.595959,245,13
3tier_nb,16,9,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
3tier_nb,16,9,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,58,2
3tier_nb,16,9,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,116,2
3tier_nb,16,9,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,215,3
3tier_os2,16,9,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,30,1
3tier_os2,16,9,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,58,2
3tier_os2,16,9,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,116,2
3tier_os2,16,9,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,215,3
3tier_os4,16,9,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,30,1
3tier_os4,16,9,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,58,2
3tier_os4,16,9,4,0.010749999999999963,0.008589934592,0.25146470963954504,7812500000.0,116,2
3tier_os4,16,9,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,215,3
2tier,16,9,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,27,2
2tier,16,9,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,49,3
2tier,16,9,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,93,4
2tier,16,9,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,139,4
3tier_nb,64,9,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,117,2
3tier_nb,64,9,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,226,2
3tier_nb,64,9,4,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,427,3
3tier_nb,64,9,8,0.006049999999999991,0.005684515538823529,0.06429474221335352,11805555555.555555,751,4
3tier_os2,64,9,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,117,2
3tier_os2,64,9,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,226,2
3tier_os2,64,9,4,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,427,3
3tier_os2,64,9,8,0.006049999999999991,0.005684515538823529,0.06429474221335352,11805555555.555555,751,4
3tier_os4,64,9,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,117,2
3tier_os4,64,9,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,226,2
