ring_size,k,affected_fraction,T_mean,T_std,T_min,T_max,speedup,speedup_std,speedup_low,speedup_high,total_qps,n_seeds,experiment,method,total_qps_std,k_mean,k_mean_std,k_max,msg_bytes,p99_step
16,,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,adaptive,adaptive,0.0,1.0,0.0,1.0,,
16,,0.1,0.0247333333333335,0.005600297611139487,0.0215000000000001,0.0312000000000003,1.177350427350431,0.3071799509149995,1.0,1.532051282051293,16.666666666666668,3,adaptive,adaptive,1.1547005383792517,1.0416666666666667,0.07216878364870323,1.6666666666666667,,
16,,0.3,0.025316666666666834,0.00498004350717285,0.0215000000000001,0.0309500000000003,0.9767527125654513,0.024292658046419793,0.9515347334410343,1.0,17.333333333333332,3,adaptive,adaptive,1.5275252316519472,1.0833333333333333,0.0954703269782467,2.3333333333333335,,
16,,0.5,0.0382166666666672,0.00937247743840112,0.0300500000000003,0.0484500000000008,1.5453384827019228,0.4884688453727306,1.2538699690402517,2.1092669432918023,20.333333333333332,3,adaptive,adaptive,2.081665999466133,1.2708333333333333,0.13010412496663332,3.6666666666666665,,
16,,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,adaptive,baseline,0.0,1.0,0.0,1.0,,
16,,0.1,0.030266666666666997,0.015184312079687564,0.0215000000000001,0.0478000000000008,1.0,0.0,1.0,1.0,16.0,3,adaptive,baseline,0.0,1.0,0.0,1.0,,
16,,0.3,0.02465000000000017,0.004224038352098731,0.0215000000000001,0.0294500000000003,1.0,0.0,1.0,1.0,16.0,3,adaptive,baseline,0.0,1.0,0.0,1.0,,
16,,0.5,0.05841666666666714,0.019107153983084994,0.0382500000000005,0.0762499999999997,1.0,0.0,1.0,1.0,16.0,3,adaptive,baseline,0.0,1.0,0.0,1.0,,
16,,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,64.0,3,adaptive,static(k=4),0.0,4.0,0.0,4.0,,
16,,0.1,0.0279833333333336,0.0071179936311671615,0.0215000000000001,0.0356000000000005,1.1280644306348944,0.5985293119392335,0.6039325842696572,1.7802607076350259,64.0,3,adaptive,static(k=4),0.0,4.0,0.0,4.0,,
16,,0.3,0.024683333333333463,0.0004509249752823397,0.0242500000000001,0.0251500000000002,0.9986123423127146,0.17041210510116717,0.8865979381443303,1.1947261663286077,64.0,3,adaptive,static(k=4),0.0,4.0,0.0,4.0,,
16,,0.5,0.038300000000000535,0.0025734218464916027,0.0355500000000005,0.0406500000000006,1.5425678076817952,0.5797457857829824,0.988372093023256,2.1448663853726764,64.0,3,adaptive,static(k=4),0.0,4.0,0.0,4.0,,
8,1.0,0.0,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,8.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,1.0,0.3,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,8.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,1.0,0.5,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,8.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,2.0,0.0,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,16.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,2.0,0.3,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,16.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,2.0,0.5,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,16.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,4.0,0.0,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,32.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,4.0,0.3,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,32.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,4.0,0.5,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,32.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,8.0,0.0,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,64.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,8.0,0.3,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,64.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
8,8.0,0.5,0.0376500000000005,0.0,0.0376500000000005,0.0376500000000005,1.0,0.0,1.0,1.0,64.0,3,allreduce,,,,,,268435456.0,0.0107500000000003
16,1.0,0.0,0.0405000000000006,0.0,0.0405000000000006,0.0405000000000006,1.0,0.0,1.0,1.0,16.0,3,allreduce,,,,,,268435456.0,0.0054000000000001
16,1.0,0.3,0.055016666666667664,0.0054727354525260195,0.0489000000000008,0.0594500000000011,1.0,0.0,1.0,1.0,16.0,3,allreduce,,,,,,268435456.0,0.012333000000000335
16,1.0,0.5,0.06286666666666767,0.004381875549731147,0.0583500000000011,0.0671000000000007,1.0,0.0,1.0,1.0,16.0,3,allreduce,,,,,,268435456.0,0.015557666666667067
16,2.0,0.0,0.0405000000000006,0.0,0.0405000000000006,0.0405000000000006,1.0,0.0,1.0,1.0,32.0,3,allreduce,,,,,,268435456.0,0.0054000000000001
16,2.0,0.3,0.04706666666666747,0.00067515430335097,0.0464000000000008,0.0477500000000008,1.1680021482615446,0.1008291744992485,1.0538793103448265,1.2450261780104734,32.0,3,allreduce,,,,,,268435456.0,0.0083925000000002
16,2.0,0.5,0.04873333333333416,0.0007488880646220741,0.0479000000000008,0.0493500000000009,1.2893101849991664,0.07075971179340787,1.218162839248437,1.3596757852076895,32.0,3,allreduce,,,,,,268435456.0,0.008951166666666866
16,4.0,0.0,0.0405000000000006,0.0,0.0405000000000006,0.0405000000000006,1.0,0.0,1.0,1.0,64.0,3,allreduce,,,,,,268435456.0,0.0054000000000001
16,4.0,0.3,0.04548333333333406,0.0023325593954567473,0.0430500000000007,0.0477000000000008,1.2084810068493874,0.08425699399167093,1.1358885017421603,1.30087527352298,64.0,3,allreduce,,,,,,268435456.0,0.007153333333333533
16,4.0,0.5,0.04606666666666743,0.0006027713773342201,0.0455000000000007,0.0467000000000008,1.3640248348306248,0.07758195461316927,1.282417582417587,1.4368308351177632,64.0,3,allreduce,,,,,,268435456.0,0.0084915000000002
16,8.0,0.0,0.0405000000000006,0.0,0.0405000000000006,0.0405000000000006,1.0,0.0,1.0,1.0,128.0,3,allreduce,,,,,,268435456.0,0.0054000000000001
16,8.0,0.3,0.04463333333333407,0.0013787071238422835,0.0432000000000007,0.0459500000000008,1.2314620033830728,0.0982972047315047,1.1319444444444444,1.3284916201117356,128.0,3,allreduce,,,,,,268435456.0,0.006261833333333434
16,8.0,0.5,0.045033333333334036,0.00047258156262526026,0.0445000000000007,0.0454000000000007,1.3954444723811434,0.08338149230071787,1.311235955056184,1.477973568281931,128.0,3,allreduce,,,,,,268435456.0,0.0069833333333333665
