pair_id,arm_id,sample_id,family,runner,policy,placement_policy,fabric,ring_size,k,affected_fraction,congestion_model,arrival_rate_fps,frozen_method,legacy_time_s,maxmin_time_s,maxmin_over_legacy,maxmin_delta_pct,campaign_use
a001_equal_3tier_nb_p16_k1__s067,equal_3tier_nb_p16_k1,67,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s068,equal_3tier_nb_p16_k1,68,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s069,equal_3tier_nb_p16_k1,69,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s070,equal_3tier_nb_p16_k1,70,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s071,equal_3tier_nb_p16_k1,71,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s072,equal_3tier_nb_p16_k1,72,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s073,equal_3tier_nb_p16_k1,73,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s074,equal_3tier_nb_p16_k1,74,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s075,equal_3tier_nb_p16_k1,75,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s076,equal_3tier_nb_p16_k1,76,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
