arm_id,family,n_pairs,legacy_mean_s,maxmin_mean_s,paired_ratio_mean,paired_ratio_median,paired_ratio_min,paired_ratio_max,maxmin_faster_count,bit_equal_count,maxmin_slower_count,inference_note
controller_p64_af01_baseline,controller,100,0.08569649999999869,0.08454749999999883,0.9883670310336314,1.0,0.8597260273972728,1.0,27,73,0,descriptive_only_CI_and_claim_audit_follow
controller_p64_af01_static_k4,controller,100,0.04550650000000073,0.044418000000000714,0.9763593469884274,0.9870218837351665,0.8960943257185057,1.0,73,27,0,descriptive_only_CI_and_claim_audit_follow
controller_p64_af03_adaptive,controller,100,0.057362500000000864,0.055279500000000883,0.9636834998597607,0.9730414962203602,0.831558567279766,1.060135790494666,90,2,8,descriptive_only_CI_and_claim_audit_follow
controller_p64_af03_baseline,controller,100,0.11702399999999527,0.1131744999999957,0.9686728667658177,0.9856115607229865,0.877022653721691,1.0,59,41,0,descriptive_only_CI_and_claim_audit_follow
controller_p64_af03_static_k4,controller,100,0.057888500000000835,0.05535700000000086,0.9565501196711449,0.9707700173261014,0.8280898876404474,1.0,90,10,0,descriptive_only_CI_and_claim_audit_follow
controller_p64_af05_adaptive,controller,100,0.06388450000000077,0.06079600000000088,0.9522114772709717,0.9562269488528423,0.8572418572418722,1.0213351686166527,95,2,3,descriptive_only_CI_and_claim_audit_follow
controller_p64_af05_baseline,controller,100,0.137608999999993,0.13153599999999366,0.9568898293853546,0.9582030946177207,0.8622754491018054,1.0,89,11,0,descriptive_only_CI_and_claim_audit_follow
controller_p64_af05_static_k4,controller,100,0.06290750000000074,0.05966700000000086,0.949757591796187,0.9521650221239668,0.8538163001293816,1.0,95,5,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p16_k1,static_split,100,0.008984499999999973,0.008984499999999973,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p16_k16,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p16_k2,static_split,100,0.006800499999999987,0.006800499999999987,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p16_k32,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p16_k4,static_split,100,0.005629499999999994,0.005629499999999994,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p16_k8,static_split,100,0.0054064999999999955,0.0054064999999999955,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p64_k1,static_split,100,0.01630549999999997,0.01630549999999997,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p64_k16,static_split,100,0.006400499999999989,0.006400499999999989,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p64_k2,static_split,100,0.011992999999999955,0.011992999999999955,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p64_k32,static_split,100,0.005809999999999993,0.005809999999999993,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p64_k4,static_split,100,0.009443499999999971,0.009443499999999971,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_2tier_p64_k8,static_split,100,0.007651499999999981,0.007651499999999981,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p16_k1,static_split,100,0.006576999999999988,0.006576999999999988,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p16_k16,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p16_k2,static_split,100,0.005642499999999994,0.005642499999999994,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p16_k32,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p16_k4,static_split,100,0.005440499999999995,0.005440499999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
equal_3tier_nb_p16_k8,static_split,100,0.005399999999999995,0.005399999999999995,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
