run,k,affected_fraction,completion_time_s
163,1,0.0,0.04295000000000072
163,2,0.0,0.03225000000000041
163,4,0.0,0.021500000000000102
163,8,0.0,0.021850000000000112
164,1,0.0,0.04295000000000072
164,2,0.0,0.03225000000000041
164,4,0.0,0.021500000000000102
164,8,0.0,0.021500000000000102
165,1,0.0,0.04295000000000072
165,2,0.0,0.03225000000000041
165,4,0.0,0.021500000000000102
165,8,0.0,0.021600000000000105
166,1,0.0,0.04295000000000072
166,2,0.0,0.04295000000000072
166,4,0.0,0.026850000000000256
166,8,0.0,0.021500000000000102
167,1,0.0,0.04295000000000072
167,2,0.0,0.03225000000000041
167,4,0.0,0.03225000000000041
167,8,0.0,0.021500000000000102
168,1,0.0,0.04295000000000072
168,2,0.0,0.03225000000000041
168,4,0.0,0.021500000000000102
168,8,0.0,0.02175000000000011
169,1,0.0,0.04295000000000072
169,2,0.0,0.03225000000000041
169,4,0.0,0.021500000000000102
169,8,0.0,0.021500000000000102
170,1,0.0,0.06445000000000106
170,2,0.0,0.04295000000000072
170,4,0.0,0.021500000000000102
170,8,0.0,0.021500000000000102
171,1,0.0,0.06445000000000106
171,2,0.0,0.03225000000000041
171,4,0.0,0.021500000000000102
171,8,0.0,0.021500000000000102
172,1,0.0,0.04295000000000072
172,2,0.0,0.021500000000000102
172,4,0.0,0.021500000000000102
172,8,0.0,0.021500000000000102
173,1,0.0,0.04295000000000072
173,2,0.0,0.03225000000000041
173,4,0.0,0.021500000000000102
173,8,0.0,0.021500000000000102
174,1,0.0,0.04295000000000072
174,2,0.0,0.03225000000000041
174,4,0.0,0.021500000000000102
174,8,0.0,0.021500000000000102
175,1,0.0,0.04295000000000072
175,2,0.0,0.03225000000000041
175,4,0.0,0.023450000000000158
175,8,0.0,0.02175000000000011
176,1,0.0,0.04295000000000072
176,2,0.0,0.03225000000000041
176,4,0.0,0.021500000000000102
176,8,0.0,0.021500000000000102
177,1,0.0,0.04295000000000072
177,2,0.0,0.03225000000000041
177,4,0.0,0.021500000000000102
177,8,0.0,0.021500000000000102
178,1,0.0,0.04295000000000072
178,2,0.0,0.03225000000000041
178,4,0.0,0.026850000000000256
178,8,0.0,0.021550000000000104
179,1,0.0,0.04295000000000072
179,2,0.0,0.03225000000000041
179,4,0.0,0.026850000000000256
179,8,0.0,0.021500000000000102
180,1,0.0,0.04295000000000072
180,2,0.0,0.03225000000000041
180,4,0.0,0.021500000000000102
180,8,0.0,0.021500000000000102
181,1,0.0,0.04295000000000072
181,2,0.0,0.03225000000000041
181,4,0.0,0.026850000000000256
181,8,0.0,0.021500000000000102
182,1,0.0,0.06445000000000106
182,2,0.0,0.03225000000000041
182,4,0.0,0.021500000000000102
182,8,0.0,0.021500000000000102
183,1,0.0,0.04295000000000072
183,2,0.0,0.03225000000000041
183,4,0.0,0.037600000000000564
183,8,0.0,0.02420000000000018
184,1,0.0,0.04295000000000072
184,2,0.0,0.04295000000000072
184,4,0.0,0.021500000000000102
