fabric,P,k,n,speedup_mean,ci_low,ci_high,speedup_min,speedup_max,mean_max_top_contention,mean_top_used,mean_equal_split_gap,mean_opt_speedup
3tier_nb,64,32,100,2.0308333333333284,1.9908333333333283,2.080833333333328,1.0,2.9907407407407343,9.69,1625.95,0.005828380584715909,2.0426698029041224
3tier_os2,64,1,100,1.0,1.0,1.0,1.0,1.0,1.96,117.52,0.0011717677116439519,1.0011717677116438
3tier_os2,64,2,100,1.69588235294119,1.6224148606811273,1.7726934984520266,0.6656346749226004,2.0000000000000164,2.4,226.74,0.09483487904071457,1.8281396478414624
3tier_os2,64,4,100,2.463827160493846,2.3847530864197712,2.5359922839506357,1.3271604938271593,3.0000000000000484,3.2,424.56,0.2799624043206338,3.1373385960857223
3tier_os2,64,8,100,3.552951229466403,3.430548917202345,3.6780004591368436,1.5925925925925901,4.777777777777848,4.44,747.04,0.08875204912490159,3.82603353096381
3tier_os2,64,16,100,3.8975742271197036,3.782407407407428,4.001388888888913,1.9907407407407356,5.972222222222304,6.39,1187.66,0.006882585999037589,3.924037122892028
3tier_os2,64,32,100,3.9018518518518737,3.782407407407428,4.001388888888913,1.9907407407407356,5.972222222222304,9.69,1625.95,0.005828380584715909,3.9245933294296456
3tier_os4,64,1,100,1.0,1.0,1.0,1.0,1.0,1.96,117.52,8.522470793729031e-05,1.0000852247079373
3tier_os4,64,2,100,1.6947829457364498,1.6215581395348975,1.771325581395366,0.6666666666666614,1.9984496124031084,2.4,226.74,0.1087860912084671,1.848442479968101
3tier_os4,64,4,100,2.4673986608107588,2.38790022139827,2.540186485708163,1.3312693498452117,2.9976744186046864,3.2,424.56,0.5129117916027685,3.707871461908083
3tier_os4,64,8,100,3.5814837191637765,3.456169616912278,3.707031689877411,1.5985130111524304,4.791821561338388,4.44,747.04,0.6402635568131944,5.8003084268421885
3tier_os4,64,16,100,4.966024670280587,4.785419580406613,5.1454728143230355,2.2872340425532096,6.856382978723539,6.39,1187.66,0.45816531527550514,7.15191743063146
3tier_os4,64,32,100,6.52446622750271,6.2948698798002205,6.751694544821408,2.6543209876543408,10.652892561983663,9.69,1625.95,0.18968307573229387,7.682099161657435
2tier,64,1,100,1.0,1.0,1.0,1.0,1.0,3.03,100.16,0.002373173832891131,1.0023731738328912
2tier,64,2,100,1.3772985578858061,1.3292989759074099,1.425205952908183,0.7992565055762086,2.0000000000000164,4.46,158.02,0.027903830011682035,1.4171640699108417
2tier,64,4,100,1.7570137196502194,1.6857177596695538,1.8254792299350047,1.0,2.8563829787234405,7.02,214,0.18116581070667892,2.0695994050385766
2tier,64,8,100,2.1515203059733126,2.074516682327344,2.2267506527649013,1.2285714285714278,3.314814814814855,11.36,245.41,0.1976746735683507,2.565226435794874
2tier,64,16,100,2.5647146178354543,2.4779677710371604,2.6547778142782446,1.5248226950354589,4.438016528925669,18.97,253.96,0.11658431409216746,2.8525827213526793
2tier,64,32,100,2.8176442091091722,2.72488608891992,2.9122606003659515,1.7199999999999969,4.550847457627168,33.83,255.16,0.059642912198564636,2.9774701425108643
