fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
3tier_nb,64,9,8,0.006049999999999991,0.005684515538823529,0.06429474221335352,11805555555.555555,751,4
3tier_nb,64,9,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1184,6
3tier_nb,64,9,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1645,8
3tier_os2,64,9,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,117,2
3tier_os2,64,9,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,226,2
3tier_os2,64,9,4,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,427,3
3tier_os2,64,9,8,0.006049999999999991,0.005684515538823529,0.06429474221335352,11805555555.555555,751,4
3tier_os2,64,9,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1184,6
3tier_os2,64,9,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1645,8
3tier_os4,64,9,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,117,2
3tier_os4,64,9,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,226,2
3tier_os4,64,9,4,0.01614999999999995,0.009911462990769232,0.6294264545043258,6770833333.333333,427,3
3tier_os4,64,9,8,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,751,4
3tier_os4,64,9,16,0.008099999999999979,0.005883516843835615,0.3767275959253278,11406250000.000002,1184,6
3tier_os4,64,9,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1645,8
2tier,64,9,1,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,101,3
2tier,64,9,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,157,4
2tier,64,9,4,0.008099999999999979,0.007158278826666666,0.1315569281578035,9375000000.0,203,6
2tier,64,9,8,0.006749999999999987,0.0059652323555555555,0.13155692815780418,11250000000.0,223,10
2tier,64,9,16,0.005749999999999993,0.005510524077886793,0.04345792137524529,12178308823.529411,235,17
2tier,64,9,32,0.005899999999999992,0.005486272093430657,0.07541148151670041,12232142857.142857,240,35
3tier_nb,16,4,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
3tier_nb,16,4,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,59,2
3tier_nb,16,4,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,115,2
3tier_nb,16,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,224,3
3tier_nb,16,4,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,388,4
3tier_nb,16,4,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,659,5
3tier_os2,16,4,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,30,1
3tier_os2,16,4,2,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,59,2
3tier_os2,16,4,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,115,2
3tier_os2,16,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,224,3
3tier_os2,16,4,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,388,4
3tier_os2,16,4,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,659,5
3tier_os4,16,4,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,30,1
3tier_os4,16,4,2,0.021500000000000102,0.014316557653333332,0.5017576515674664,4687500000.0,59,2
3tier_os4,16,4,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,115,2
3tier_os4,16,4,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,224,3
3tier_os4,16,4,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,388,4
3tier_os4,16,4,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,659,5
2tier,16,4,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
2tier,16,4,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,51,3
2tier,16,4,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,75,4
2tier,16,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,117,7
2tier,16,4,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,147,9
2tier,16,4,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,160,17
3tier_nb,64,4,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,118,2
3tier_nb,64,4,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,228,2
