seed,k,t_equal,t_prop
77,2,0.021500000000000102,0.021500000000000102
77,4,0.01614999999999995,0.009349999999999971
77,8,0.010749999999999963,0.006849999999999986
77,16,0.006749999999999987,0.005899999999999992
77,32,0.006749999999999987,0.005549999999999994
79,1,0.04295000000000072,0.04295000000000072
79,2,0.021500000000000102,0.014349999999999941
79,4,0.01614999999999995,0.009299999999999971
79,8,0.010749999999999963,0.007099999999999985
79,16,0.008099999999999979,0.005899999999999992
79,32,0.006049999999999991,0.005449999999999995
80,1,0.04295000000000072,0.04295000000000072
80,2,0.021500000000000102,0.01795
80,4,0.01614999999999995,0.009399999999999971
80,8,0.010749999999999963,0.006449999999999989
80,16,0.008099999999999979,0.005749999999999993
80,32,0.005399999999999995,0.005399999999999995
81,1,0.04295000000000072,0.04295000000000072
81,2,0.021500000000000102,0.021500000000000102
81,4,0.01614999999999995,0.008799999999999975
81,8,0.013449999999999946,0.007349999999999983
81,16,0.009399999999999971,0.005949999999999992
81,32,0.007399999999999983,0.005599999999999994
84,1,0.04295000000000072,0.04295000000000072
84,2,0.03225000000000041,0.026900000000000257
84,4,0.021500000000000102,0.009899999999999968
84,8,0.013449999999999946,0.006899999999999986
84,16,0.008099999999999979,0.006049999999999991
84,32,0.006749999999999987,0.0054999999999999945
85,1,0.04295000000000072,0.04295000000000072
85,2,0.03225000000000041,0.019750000000000052
85,4,0.01614999999999995,0.00949999999999997
85,8,0.010749999999999963,0.006699999999999987
85,16,0.009399999999999971,0.0059999999999999915
85,32,0.008099999999999979,0.005649999999999994
83,1,0.04295000000000072,0.04295000000000072
83,2,0.021500000000000102,0.021500000000000102
83,4,0.01614999999999995,0.010049999999999967
83,8,0.010749999999999963,0.007349999999999983
83,16,0.009399999999999971,0.005749999999999993
83,32,0.006049999999999991,0.005449999999999995
86,1,0.04295000000000072,0.04295000000000072
86,2,0.021500000000000102,0.01795
86,4,0.01614999999999995,0.009749999999999969
86,8,0.010749999999999963,0.006949999999999986
86,16,0.009399999999999971,0.005899999999999992
86,32,0.006049999999999991,0.005449999999999995
87,1,0.04295000000000072,0.04295000000000072
87,2,0.021500000000000102,0.021500000000000102
87,4,0.01614999999999995,0.012299999999999953
87,8,0.010749999999999963,0.006999999999999985
87,16,0.006749999999999987,0.005799999999999993
87,32,0.006749999999999987,0.005549999999999994
82,1,0.04295000000000072,0.04295000000000072
82,2,0.021500000000000102,0.021500000000000102
82,4,0.01614999999999995,0.009249999999999972
82,8,0.010749999999999963,0.007549999999999982
82,16,0.008099999999999979,0.0059999999999999915
82,32,0.006049999999999991,0.005449999999999995
88,1,0.04295000000000072,0.04295000000000072
88,2,0.03225000000000041,0.026900000000000257
88,4,0.01614999999999995,0.008649999999999975
88,8,0.010749999999999963,0.007099999999999985
88,16,0.006749999999999987,0.005749999999999993
88,32,0.005399999999999995,0.005399999999999995
89,1,0.04295000000000072,0.04295000000000072
89,2,0.03225000000000041,0.026900000000000257
89,4,0.01614999999999995,0.009749999999999969
89,8,0.010749999999999963,0.006699999999999987
89,16,0.008099999999999979,0.005849999999999992
89,32,0.005399999999999995,0.005399999999999995
91,1,0.04295000000000072,0.04295000000000072
91,2,0.021500000000000102,0.021500000000000102
91,4,0.021500000000000102,0.010899999999999962
91,8,0.01614999999999995,0.007049999999999985
91,16,0.008099999999999979,0.005749999999999993
91,32,0.006749999999999987,0.0054999999999999945
90,1,0.04295000000000072,0.04295000000000072
90,2,0.021500000000000102,0.021500000000000102
90,4,0.021500000000000102,0.014949999999999937
90,8,0.010749999999999963,0.007199999999999984
90,16,0.009399999999999971,0.005899999999999992
90,32,0.006749999999999987,0.0054999999999999945
92,1,0.04295000000000072,0.04295000000000072
92,2,0.021500000000000102,0.021500000000000102
92,4,0.01614999999999995,0.00959999999999997
92,8,0.010749999999999963,0.007049999999999985
92,16,0.006749999999999987,0.005699999999999993
92,32,0.006749999999999987,0.005549999999999994
93,1,0.04295000000000072,0.04295000000000072
93,2,0.03225000000000041,0.026900000000000257
93,4,0.01614999999999995,0.010749999999999963
93,8,0.010749999999999963,0.006999999999999985
93,16,0.008099999999999979,0.005749999999999993
93,32,0.006749999999999987,0.005449999999999995
98,1,0.04295000000000072,0.04295000000000072
98,2,0.03225000000000041,0.021500000000000102
98,4,0.01614999999999995,0.010899999999999962
98,8,0.010749999999999963,0.007499999999999982
98,16,0.008099999999999979,0.005749999999999993
98,32,0.006749999999999987,0.005549999999999994
95,1,0.04295000000000072,0.04295000000000072
