arm_id,family,policy,fabric,ring_size,k,n_pairs,ratio_mean,ratio_mean_ci_low,ratio_mean_ci_high,ratio_geometric_mean,ratio_geometric_ci_low,ratio_geometric_ci_high,ratio_median,ratio_min,ratio_max,maxmin_faster_count,bit_equal_count,maxmin_slower_count,inference
background_p16_k1_rate0,background,pipelined_allreduce,3tier_nb,16,1,100,0.99995337995338,0.9998601398601398,1.0,0.9999532720347915,0.9998598226547806,1.0,1.0,0.9953379953379953,1.0,1,99,0,pointwise_95pct_CI_includes_one
background_p16_k1_rate1000,background,pipelined_allreduce,3tier_nb,16,1,100,0.9998889324401368,0.9996841148802735,1.0,0.9998885694715177,0.9996832799014856,1.0,1.0,0.9920182440136829,1.0,2,98,0,pointwise_95pct_CI_includes_one
background_p16_k1_rate200,background,pipelined_allreduce,3tier_nb,16,1,100,0.99995337995338,0.9998601398601398,1.0,0.9999532720347915,0.9998598226547806,1.0,1.0,0.9953379953379953,1.0,1,99,0,pointwise_95pct_CI_includes_one
background_p16_k1_rate500,background,pipelined_allreduce,3tier_nb,16,1,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
background_p16_k4_rate0,background,pipelined_allreduce,3tier_nb,16,4,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
background_p16_k4_rate1000,background,pipelined_allreduce,3tier_nb,16,4,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
background_p16_k4_rate200,background,pipelined_allreduce,3tier_nb,16,4,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
background_p16_k4_rate500,background,pipelined_allreduce,3tier_nb,16,4,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
congestion_hot_spot_p16_k1,congestion,equal,3tier_nb,16,1,100,0.9972150150024399,0.9950301839067778,0.9990847170160415,0.997158972315864,0.9949330035112537,0.999063138950396,1.0,0.948111847794756,1.0,7,93,0,maxmin_faster_pointwise_95pct_CI
congestion_hot_spot_p16_k2,congestion,equal,3tier_nb,16,2,100,0.9787010755844219,0.974388897297466,0.98296971800194,0.9784527893289275,0.9741282837295797,0.9827415405504714,0.9779161688121624,0.9300349825087514,1.0,52,48,0,maxmin_faster_pointwise_95pct_CI
congestion_hot_spot_p16_k4,congestion,equal,3tier_nb,16,4,100,0.9739047478141637,0.9694352250239555,0.9783158360459165,0.9736417974034952,0.9691561270796845,0.9780827886921356,0.9754295400502184,0.9161248374512443,1.0,73,27,0,maxmin_faster_pointwise_95pct_CI
congestion_hot_spot_p16_k8,congestion,equal,3tier_nb,16,8,100,0.973571009336285,0.9699240869559075,0.9771349091354384,0.9733941179041272,0.9697478277411694,0.9769687641566948,0.973981864083199,0.9245107176141651,1.0,90,10,0,maxmin_faster_pointwise_95pct_CI
congestion_iid_p16_k1,congestion,equal,3tier_nb,16,1,100,0.9960086385619908,0.9942022789516833,0.9975840465806944,0.9959700504398763,0.9941488122912869,0.9975607063579357,1.0,0.9642058165548094,1.0,22,78,0,maxmin_faster_pointwise_95pct_CI
congestion_iid_p16_k2,congestion,equal,3tier_nb,16,2,100,0.9846504589318489,0.9815073012626876,0.9876476878645852,0.9845228208581173,0.9813528820080921,0.9875477693944954,0.9892703862660942,0.9396551724137918,1.0,77,23,0,maxmin_faster_pointwise_95pct_CI
congestion_iid_p16_k4,congestion,equal,3tier_nb,16,4,100,0.9760952347646995,0.9740794216074989,0.9780829525237307,0.976040808675411,0.9740233652624138,0.9780330690019176,0.9763025809574761,0.9515418502202633,1.0,99,1,0,maxmin_faster_pointwise_95pct_CI
congestion_iid_p16_k8,congestion,equal,3tier_nb,16,8,100,0.9851257875224718,0.9840323448053051,0.9861547151916167,0.9851108234516806,0.9840133734251809,0.9861421994388678,0.9863013698630134,0.9601769911504415,0.9956521739130434,100,0,0,maxmin_faster_pointwise_95pct_CI
congestion_microburst_p16_k1,congestion,equal,3tier_nb,16,1,100,0.9997026981017545,0.9995327921570355,0.9998519124276853,0.9997023634815886,0.9995322484441327,0.9998517366411726,1.0,0.996523754345307,1.0,13,87,0,maxmin_faster_pointwise_95pct_CI
congestion_microburst_p16_k2,congestion,equal,3tier_nb,16,2,100,0.9984133106868854,0.997916649421791,0.9988595582074107,0.9984103750448322,0.9979130443982892,0.9988579325757483,1.0,0.9885057471264365,1.0,38,62,0,maxmin_faster_pointwise_95pct_CI
congestion_microburst_p16_k4,congestion,equal,3tier_nb,16,4,100,0.9969517323222186,0.996582969106969,0.9972999269513826,0.9969500335459658,0.9965810257050111,0.9972981550502075,0.9976851851851851,0.9908045977011493,1.0,89,11,0,maxmin_faster_pointwise_95pct_CI
congestion_microburst_p16_k8,congestion,equal,3tier_nb,16,8,100,0.9979870733897873,0.9977558057480116,0.9982183410315629,0.9979863425899526,0.9977551931655532,0.9982175455646184,0.9976851851851851,0.995381062355658,1.0,79,21,0,maxmin_faster_pointwise_95pct_CI
congestion_onoff_p16_k1,congestion,equal,3tier_nb,16,1,100,0.996260040515981,0.9926386201213575,0.9989912935724817,0.9961170640396622,0.9923195817296653,0.9989723784080498,1.0,0.8791451731761325,1.0,10,90,0,maxmin_faster_pointwise_95pct_CI
congestion_onoff_p16_k2,congestion,equal,3tier_nb,16,2,100,0.9812021898512501,0.9753372821627236,0.9864358409894961,0.9807700742080907,0.9746714291083552,0.9861895183836491,0.9984705096637669,0.8479184367034821,1.0,52,48,0,maxmin_faster_pointwise_95pct_CI
