fabric,ring_size,k,n_pairs,legacy_prop_advantage_mean,legacy_prop_advantage_mean_ci_low,legacy_prop_advantage_mean_ci_high,maxmin_prop_advantage_mean,maxmin_prop_advantage_mean_ci_low,maxmin_prop_advantage_mean_ci_high,amplification_geometric_mean,amplification_geometric_ci_low,amplification_geometric_ci_high,amplification_mean,amplification_mean_ci_low,amplification_mean_ci_high,amplification_gt_one_count,amplification_equal_one_count,amplification_lt_one_count,inference
3tier_os2,64,4,100,1.2988623922064324,1.2724428877747729,1.3264050087329333,1.4600288356871978,1.4264730029662216,1.494876932514076,1.1218688664478418,1.1054190781314388,1.138528071563686,1.125084032318561,1.1083239040682453,1.141911833148555,99,1,0,masking_supported_pointwise_95pct_CI
3tier_os2,64,8,100,1.0825447823961807,1.0614043863600715,1.1049175461681904,1.114814814814814,1.084907407407407,1.1459282407407398,1.0258686407685393,1.0191392680533218,1.0329619046450553,1.0264814814814816,1.0196296296296294,1.0337037037037036,41,59,0,masking_supported_pointwise_95pct_CI
3tier_os2,64,16,100,1.0011009174311927,1.0,1.003302752293578,1.0012037037037036,1.0,1.0036111111111112,1.0000921707985162,1.0,1.0002765378827003,1.0000925925925928,1.0,1.0002777777777778,1,99,0,pointwise_95pct_CI_includes_one
3tier_os4,16,2,100,1.1696558910393566,1.125126356699601,1.2152237037276559,1.1696558910393566,1.1261097644680078,1.2150615499688655,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,models_identical_in_this_cell
3tier_os4,16,4,100,1.5456337137641287,1.5012547334396862,1.5902535699552174,1.5456337137641287,1.501542164699325,1.5909233351944387,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,models_identical_in_this_cell
3tier_os4,16,8,100,1.2977575168876698,1.2604667854110747,1.334855523792563,1.4045370370370347,1.35472222222222,1.454166666666664,1.0754416977168775,1.065378553833269,1.085424537514947,1.076666666666666,1.0665740740740737,1.0865740740740735,76,24,0,masking_supported_pointwise_95pct_CI
3tier_os4,16,16,100,1.0263997611374764,1.012430019305019,1.042296952384174,1.0324999999999998,1.015,1.0524999999999998,1.0049063040740733,1.0023691637359158,1.007725145798149,1.005,1.0024074074074074,1.0078703703703702,12,88,0,masking_supported_pointwise_95pct_CI
3tier_os4,64,2,100,1.2277850050689205,1.1833259645675638,1.2739725136040598,1.2277850050689205,1.184128310145628,1.274000282001239,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,models_identical_in_this_cell
3tier_os4,64,4,100,1.7293677664576095,1.6920057171579617,1.7675687461848049,1.736335772269077,1.6984732128259907,1.775424957950969,1.0038798304459462,1.0017886631716695,1.0064625471022566,1.0039529788793755,1.0018151813021066,1.0065957486534,15,85,0,masking_supported_pointwise_95pct_CI
3tier_os4,64,8,100,1.686417153872907,1.642446581759366,1.7323261894253348,1.8852680815737026,1.8309598758944787,1.9397913596529113,1.1161369437471946,1.1040024768084375,1.1290725097966319,1.1179981244005428,1.1055313013600983,1.131327853241681,100,0,0,masking_supported_pointwise_95pct_CI
3tier_os4,64,16,100,1.4571434543557558,1.426084020617293,1.488544064648796,1.5934259259259227,1.5546273148148118,1.632407407407404,1.0916961861656393,1.0865201307830847,1.0971213337061794,1.0920370370370365,1.0868518518518513,1.0974999999999995,100,0,0,masking_supported_pointwise_95pct_CI
