fabric,P,seed,k,t_prop
2tier,16,58,8,0.005399999999999995
2tier,16,58,16,0.005399999999999995
2tier,16,59,2,0.005399999999999995
2tier,16,59,4,0.005399999999999995
2tier,16,59,8,0.005399999999999995
2tier,16,59,16,0.005399999999999995
2tier,16,60,2,0.005399999999999995
2tier,16,60,4,0.005399999999999995
2tier,16,60,8,0.005399999999999995
2tier,16,60,16,0.005399999999999995
2tier,16,61,2,0.005399999999999995
2tier,16,61,4,0.005399999999999995
2tier,16,61,8,0.005399999999999995
2tier,16,61,16,0.005399999999999995
2tier,16,62,2,0.005399999999999995
2tier,16,62,4,0.00624999999999999
2tier,16,62,8,0.005399999999999995
2tier,16,62,16,0.005399999999999995
2tier,16,63,2,0.007199999999999984
2tier,16,63,4,0.006399999999999989
2tier,16,63,8,0.005399999999999995
2tier,16,63,16,0.005399999999999995
2tier,16,64,2,0.007549999999999982
2tier,16,64,4,0.005399999999999995
2tier,16,64,8,0.005399999999999995
2tier,16,64,16,0.005399999999999995
2tier,16,65,2,0.007549999999999982
2tier,16,65,4,0.005399999999999995
2tier,16,65,8,0.005399999999999995
2tier,16,65,16,0.005399999999999995
2tier,16,66,2,0.005399999999999995
2tier,16,66,4,0.005399999999999995
2tier,16,66,8,0.005399999999999995
2tier,16,66,16,0.005399999999999995
2tier,16,67,2,0.005399999999999995
2tier,16,67,4,0.005399999999999995
2tier,16,67,8,0.005399999999999995
2tier,16,67,16,0.005399999999999995
2tier,16,68,2,0.007549999999999982
2tier,16,68,4,0.005399999999999995
2tier,16,68,8,0.005399999999999995
2tier,16,68,16,0.005399999999999995
2tier,16,69,2,0.005399999999999995
2tier,16,69,4,0.005399999999999995
2tier,16,69,8,0.005399999999999995
2tier,16,69,16,0.005399999999999995
2tier,16,70,2,0.005399999999999995
2tier,16,70,4,0.005399999999999995
2tier,16,70,8,0.005399999999999995
2tier,16,70,16,0.005399999999999995
2tier,16,71,2,0.007549999999999982
2tier,16,71,4,0.005399999999999995
2tier,16,71,8,0.005399999999999995
2tier,16,71,16,0.005399999999999995
2tier,16,72,2,0.005399999999999995
2tier,16,72,4,0.005399999999999995
