fabric,P,seed,k,t_prop
2tier,16,157,2,0.007549999999999982
2tier,16,157,4,0.005399999999999995
2tier,16,157,8,0.005399999999999995
2tier,16,157,16,0.005399999999999995
2tier,16,158,2,0.005399999999999995
2tier,16,158,4,0.005399999999999995
2tier,16,158,8,0.005399999999999995
2tier,16,158,16,0.005399999999999995
2tier,16,159,2,0.006449999999999989
2tier,16,159,4,0.005399999999999995
2tier,16,159,8,0.005399999999999995
2tier,16,159,16,0.005399999999999995
2tier,16,160,2,0.006449999999999989
2tier,16,160,4,0.00624999999999999
2tier,16,160,8,0.005699999999999993
2tier,16,160,16,0.005399999999999995
2tier,16,161,2,0.007549999999999982
2tier,16,161,4,0.00624999999999999
2tier,16,161,8,0.005399999999999995
2tier,16,161,16,0.005399999999999995
2tier,16,162,2,0.007549999999999982
2tier,16,162,4,0.006349999999999989
2tier,16,162,8,0.005399999999999995
2tier,16,162,16,0.005399999999999995
2tier,16,163,2,0.005399999999999995
2tier,16,163,4,0.005399999999999995
2tier,16,163,8,0.005399999999999995
2tier,16,163,16,0.005399999999999995
2tier,16,164,2,0.005399999999999995
2tier,16,164,4,0.005399999999999995
2tier,16,164,8,0.005399999999999995
2tier,16,164,16,0.005399999999999995
2tier,16,165,2,0.005399999999999995
2tier,16,165,4,0.005399999999999995
2tier,16,165,8,0.005399999999999995
2tier,16,165,16,0.005399999999999995
2tier,16,166,2,0.005399999999999995
2tier,16,166,4,0.005399999999999995
2tier,16,166,8,0.005399999999999995
2tier,16,166,16,0.005399999999999995
2tier,16,167,2,0.005399999999999995
2tier,16,167,4,0.005399999999999995
2tier,16,167,8,0.005399999999999995
2tier,16,167,16,0.005399999999999995
2tier,16,168,2,0.005399999999999995
2tier,16,168,4,0.005399999999999995
2tier,16,168,8,0.005399999999999995
2tier,16,168,16,0.005399999999999995
2tier,16,169,2,0.006449999999999989
2tier,16,169,4,0.005399999999999995
2tier,16,169,8,0.005399999999999995
2tier,16,169,16,0.005399999999999995
2tier,16,170,2,0.007549999999999982
2tier,16,170,4,0.005399999999999995
2tier,16,170,8,0.005399999999999995
2tier,16,170,16,0.005399999999999995
2tier,16,171,2,0.005399999999999995
2tier,16,171,4,0.005399999999999995
2tier,16,171,8,0.005399999999999995
2tier,16,171,16,0.005399999999999995
2tier,16,172,2,0.007549999999999982
2tier,16,172,4,0.005399999999999995
2tier,16,172,8,0.005399999999999995
2tier,16,172,16,0.005399999999999995
2tier,16,173,2,0.007549999999999982
2tier,16,173,4,0.005399999999999995
2tier,16,173,8,0.005399999999999995
2tier,16,173,16,0.005399999999999995
2tier,16,174,2,0.007549999999999982
2tier,16,174,4,0.005399999999999995
2tier,16,174,8,0.005399999999999995
2tier,16,174,16,0.005399999999999995
2tier,16,175,2,0.005399999999999995
2tier,16,175,4,0.005399999999999995
2tier,16,175,8,0.005399999999999995
2tier,16,175,16,0.005399999999999995
2tier,16,176,2,0.005399999999999995
2tier,16,176,4,0.005399999999999995
2tier,16,176,8,0.005399999999999995
2tier,16,176,16,0.005399999999999995
2tier,16,177,2,0.006449999999999989
2tier,16,177,4,0.005399999999999995
2tier,16,177,8,0.005399999999999995
2tier,16,177,16,0.005399999999999995
2tier,16,178,2,0.005399999999999995
2tier,16,178,4,0.005399999999999995
2tier,16,178,8,0.005399999999999995
2tier,16,178,16,0.005399999999999995
2tier,16,179,2,0.005399999999999995
2tier,16,179,4,0.005399999999999995
2tier,16,179,8,0.005399999999999995
2tier,16,179,16,0.005399999999999995
2tier,16,180,2,0.005399999999999995
2tier,16,180,4,0.006349999999999989
2tier,16,180,8,0.005399999999999995
2tier,16,180,16,0.005399999999999995
2tier,16,181,2,0.005399999999999995
2tier,16,181,4,0.005399999999999995
2tier,16,181,8,0.005399999999999995
2tier,16,181,16,0.005399999999999995
2tier,16,182,2,0.005399999999999995
