fabric,P,seed,k,t_prop
3tier_os4,16,14,16,0.005399999999999995
3tier_os4,16,14,32,0.005399999999999995
2tier,16,14,2,0.010749999999999963
2tier,16,14,4,0.006349999999999989
2tier,16,14,8,0.005399999999999995
2tier,16,14,16,0.005399999999999995
2tier,16,14,32,0.005399999999999995
3tier_nb,64,14,2,0.007549999999999982
3tier_nb,64,14,4,0.005399999999999995
3tier_nb,64,14,8,0.005399999999999995
3tier_nb,64,14,16,0.005399999999999995
3tier_nb,64,14,32,0.005399999999999995
3tier_os2,64,14,2,0.010749999999999963
3tier_os2,64,14,4,0.007199999999999984
3tier_os2,64,14,8,0.005399999999999995
3tier_os2,64,14,16,0.005399999999999995
3tier_os2,64,14,32,0.005399999999999995
3tier_os4,64,14,2,0.021500000000000102
3tier_os4,64,14,4,0.012549999999999952
3tier_os4,64,14,8,0.006999999999999985
3tier_os4,64,14,16,0.00629999999999999
3tier_os4,64,14,32,0.0054999999999999945
2tier,64,14,2,0.010749999999999963
2tier,64,14,4,0.007499999999999982
2tier,64,14,8,0.00629999999999999
2tier,64,14,16,0.0059999999999999915
2tier,64,14,32,0.0054999999999999945
3tier_nb,16,11,2,0.005399999999999995
3tier_nb,16,11,4,0.005399999999999995
3tier_nb,16,11,8,0.005399999999999995
3tier_nb,16,11,16,0.005399999999999995
3tier_nb,16,11,32,0.005399999999999995
3tier_os2,16,11,2,0.005399999999999995
3tier_os2,16,11,4,0.005399999999999995
3tier_os2,16,11,8,0.005399999999999995
3tier_os2,16,11,16,0.005399999999999995
3tier_os2,16,11,32,0.005399999999999995
3tier_os4,16,11,2,0.010749999999999963
3tier_os4,16,11,4,0.0061499999999999905
3tier_os4,16,11,8,0.005899999999999992
3tier_os4,16,11,16,0.005399999999999995
3tier_os4,16,11,32,0.005399999999999995
2tier,16,11,2,0.005399999999999995
2tier,16,11,4,0.005399999999999995
2tier,16,11,8,0.005399999999999995
2tier,16,11,16,0.005399999999999995
2tier,16,11,32,0.005399999999999995
3tier_nb,64,11,2,0.007549999999999982
3tier_nb,64,11,4,0.005399999999999995
3tier_nb,64,11,8,0.005399999999999995
3tier_nb,64,11,16,0.005399999999999995
3tier_nb,64,11,32,0.005399999999999995
3tier_os2,64,11,2,0.010749999999999963
3tier_os2,64,11,4,0.006949999999999986
3tier_os2,64,11,8,0.005399999999999995
3tier_os2,64,11,16,0.005399999999999995
3tier_os2,64,11,32,0.005399999999999995
3tier_os4,64,11,2,0.021500000000000102
3tier_os4,64,11,4,0.011049999999999961
3tier_os4,64,11,8,0.006999999999999985
3tier_os4,64,11,16,0.0059999999999999915
3tier_os4,64,11,32,0.0054999999999999945
2tier,64,11,2,0.013749999999999945
2tier,64,11,4,0.007049999999999985
2tier,64,11,8,0.006349999999999989
