run,seed,flows_per_neighbor,ring_size,affected_fraction,completion_time_s
2,10048880,8,4,0.3,0.021500000000000102
2,10048880,8,4,0.5,0.021500000000000102
3,20048881,2,8,0.0,0.021500000000000102
3,20048881,2,8,0.1,0.021500000000000102
3,20048881,2,8,0.3,0.021500000000000102
3,20048881,2,8,0.5,0.021500000000000102
3,20048881,2,16,0.0,0.021500000000000102
3,20048881,2,16,0.1,0.02775000000000028
3,20048881,2,16,0.3,0.03255000000000042
3,20048881,2,16,0.5,0.03785000000000057
3,20048881,1,64,0.0,0.021500000000000102
3,20048881,1,64,0.1,0.021500000000000102
3,20048881,1,64,0.3,0.04695000000000083
3,20048881,1,64,0.5,0.05730000000000113
3,20048881,2,4,0.0,0.021500000000000102
3,20048881,2,4,0.1,0.021500000000000102
3,20048881,2,4,0.3,0.021500000000000102
3,20048881,2,4,0.5,0.021500000000000102
3,20048881,1,16,0.0,0.021500000000000102
3,20048881,1,16,0.1,0.021500000000000102
3,20048881,1,16,0.3,0.021500000000000102
3,20048881,1,16,0.5,0.04305000000000072
3,20048881,1,32,0.0,0.021500000000000102
3,20048881,1,32,0.1,0.021500000000000102
3,20048881,1,32,0.3,0.08214999999999911
3,20048881,1,32,0.5,0.07055000000000039
3,20048881,4,4,0.0,0.021500000000000102
3,20048881,4,4,0.1,0.021500000000000102
3,20048881,4,4,0.3,0.021500000000000102
3,20048881,4,4,0.5,0.021500000000000102
3,20048881,4,8,0.0,0.021500000000000102
3,20048881,4,8,0.1,0.021500000000000102
3,20048881,4,8,0.3,0.021500000000000102
3,20048881,4,8,0.5,0.021500000000000102
2,10048880,8,32,0.0,0.021500000000000102
2,10048880,8,32,0.1,0.02180000000000011
2,10048880,8,32,0.3,0.02870000000000031
2,10048880,8,32,0.5,0.02735000000000027
2,10048880,8,64,0.0,0.021500000000000102
2,10048880,8,64,0.1,0.02390000000000017
2,10048880,8,64,0.3,0.025050000000000204
2,10048880,8,64,0.5,0.03015000000000035
3,20048881,2,32,0.0,0.021500000000000102
3,20048881,2,32,0.1,0.02775000000000028
3,20048881,2,32,0.3,0.03425000000000047
3,20048881,2,32,0.5,0.04295000000000072
3,20048881,2,64,0.0,0.021500000000000102
3,20048881,2,64,0.1,0.02775000000000028
3,20048881,2,64,0.3,0.03425000000000047
3,20048881,2,64,0.5,0.04295000000000072
3,20048881,4,16,0.0,0.021500000000000102
3,20048881,4,16,0.1,0.03120000000000038
3,20048881,4,16,0.3,0.03600000000000052
3,20048881,4,16,0.5,0.03370000000000045
3,20048881,4,32,0.0,0.021500000000000102
3,20048881,4,32,0.1,0.02455000000000019
3,20048881,4,32,0.3,0.03610000000000052
3,20048881,4,32,0.5,0.040450000000000645
3,20048881,8,8,0.0,0.021500000000000102
3,20048881,8,8,0.1,0.021500000000000102
3,20048881,8,8,0.3,0.021500000000000102
3,20048881,8,8,0.5,0.021500000000000102
3,20048881,8,16,0.0,0.021500000000000102
3,20048881,8,16,0.1,0.04125000000000067
3,20048881,8,16,0.3,0.0319500000000004
3,20048881,8,16,0.5,0.028550000000000304
3,20048881,4,64,0.0,0.021500000000000102
3,20048881,4,64,0.1,0.02355000000000016
3,20048881,4,64,0.3,0.03460000000000048
3,20048881,4,64,0.5,0.03370000000000045
3,20048881,8,4,0.0,0.021500000000000102
3,20048881,8,4,0.1,0.021500000000000102
3,20048881,8,4,0.3,0.021500000000000102
3,20048881,8,4,0.5,0.021500000000000102
4,30048882,1,4,0.0,0.021500000000000102
4,30048882,1,4,0.1,0.021500000000000102
4,30048882,1,4,0.3,0.021500000000000102
4,30048882,1,4,0.5,0.021500000000000102
4,30048882,1,8,0.0,0.021500000000000102
4,30048882,1,8,0.1,0.021500000000000102
4,30048882,1,8,0.3,0.021500000000000102
4,30048882,1,8,0.5,0.021500000000000102
4,30048882,2,8,0.0,0.021500000000000102
4,30048882,2,8,0.1,0.021500000000000102
4,30048882,2,8,0.3,0.021500000000000102
4,30048882,2,8,0.5,0.021500000000000102
4,30048882,2,16,0.0,0.021500000000000102
4,30048882,2,16,0.1,0.0318000000000004
4,30048882,2,16,0.3,0.02905000000000032
4,30048882,2,16,0.5,0.02805000000000029
4,30048882,1,16,0.0,0.021500000000000102
4,30048882,1,16,0.1,0.021500000000000102
4,30048882,1,16,0.3,0.06350000000000117
4,30048882,1,16,0.5,0.031400000000000386
4,30048882,1,32,0.0,0.021500000000000102
4,30048882,1,32,0.1,0.04755000000000085
4,30048882,1,32,0.3,0.04025000000000064
4,30048882,1,32,0.5,0.055800000000001085
4,30048882,1,64,0.0,0.021500000000000102
4,30048882,1,64,0.1,0.03815000000000058
4,30048882,1,64,0.3,0.07170000000000026
4,30048882,1,64,0.5,0.061000000000001234
4,30048882,2,4,0.0,0.021500000000000102
4,30048882,2,4,0.1,0.021500000000000102
4,30048882,2,4,0.3,0.021500000000000102
4,30048882,2,4,0.5,0.021500000000000102
3,20048881,8,32,0.0,0.021500000000000102
3,20048881,8,32,0.1,0.022700000000000137
3,20048881,8,32,0.3,0.023650000000000164
3,20048881,8,32,0.5,0.0318000000000004
3,20048881,8,64,0.0,0.021500000000000102
3,20048881,8,64,0.1,0.022700000000000137
3,20048881,8,64,0.3,0.0248500000000002
3,20048881,8,64,0.5,0.031000000000000374
4,30048882,4,4,0.0,0.021500000000000102
4,30048882,4,4,0.1,0.021500000000000102
4,30048882,4,4,0.3,0.021500000000000102
4,30048882,4,4,0.5,0.021500000000000102
4,30048882,4,8,0.0,0.021500000000000102
4,30048882,4,8,0.1,0.021500000000000102
4,30048882,4,8,0.3,0.021500000000000102
4,30048882,4,8,0.5,0.021500000000000102
4,30048882,2,32,0.0,0.021500000000000102
4,30048882,2,32,0.1,0.0318000000000004
4,30048882,2,32,0.3,0.0284000000000003
4,30048882,2,32,0.5,0.03020000000000035
4,30048882,2,64,0.0,0.021500000000000102
4,30048882,2,64,0.1,0.03440000000000047
4,30048882,2,64,0.3,0.043950000000000745
4,30048882,2,64,0.5,0.042850000000000714
4,30048882,4,16,0.0,0.021500000000000102
4,30048882,4,16,0.1,0.022600000000000134
4,30048882,4,16,0.3,0.027850000000000284
4,30048882,4,16,0.5,0.026550000000000247
4,30048882,4,32,0.0,0.021500000000000102
4,30048882,4,32,0.1,0.022600000000000134
4,30048882,4,32,0.3,0.02415000000000018
