ring_size,k,affected_fraction,T_mean,T_ci_low,T_ci_high,T_min,T_max,speedup,speedup_ci_low,speedup_ci_high,speedup_low,speedup_high,n_seeds,total_qps,total_qps_std,experiment,method,k_mean,k_mean_std,k_max,msg_bytes,p99_step
64,8.0,0.3,0.026516850000000196,0.026397541250000194,0.026645206250000202,0.0230500000000001,0.0368500000000005,2.2519558522127228,2.219834840393332,2.2854779002114727,0.5898491083676215,3.736242884250344,1000,512.0,0.0,static,,,,,,
64,8.0,0.5,0.02827610000000024,0.02813443875000024,0.028426155000000248,0.0244000000000001,0.0382500000000005,2.4681685680944256,2.4401338826752346,2.494720990516683,1.107738998482551,3.683908045976888,1000,512.0,0.0,static,,,,,,
16,,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,adaptive,adaptive,1.0,0.0,1.0,,
16,,0.1,0.024257200000000156,0.02396609750000015,0.024549410000000167,0.0215000000000001,0.0432000000000007,1.1449694291027321,1.1264175674618706,1.1637740005232544,0.6795069337442166,2.6420454545454493,1000,16.766,1.2493217379061348,adaptive,adaptive,1.047875,0.07808260861913342,1.702,,
16,,0.3,0.029466950000000297,0.02909744375000028,0.029829257500000306,0.0215000000000001,0.053600000000001,1.3488731542407923,1.3249050339762873,1.3723929721812227,0.6496732026143758,2.9269230769230425,1000,18.389,1.7868608988591899,adaptive,adaptive,1.1493125,0.11167880617869937,2.868,,
16,,0.5,0.03434320000000042,0.03397548000000041,0.034735207500000434,0.0215000000000001,0.0516500000000009,1.4804630891232677,1.4558371448818241,1.5064084849610602,0.573593073593068,3.082554517133831,1000,19.687,1.736100528496275,adaptive,adaptive,1.2304375,0.10850628303101718,3.53,,
16,,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,adaptive,baseline,1.0,0.0,1.0,,
16,,0.1,0.028525600000000245,0.027739981250000233,0.02928007125000026,0.0215000000000001,0.0912499999999981,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,adaptive,baseline,1.0,0.0,1.0,,
16,,0.3,0.04045695000000046,0.03948313625000047,0.04145413750000047,0.0215000000000001,0.0899999999999982,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,adaptive,baseline,1.0,0.0,1.0,,
16,,0.5,0.051173300000000484,0.05008598250000046,0.05218532875000048,0.0215000000000001,0.0989499999999972,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,adaptive,baseline,1.0,0.0,1.0,,
16,,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,adaptive,static(k=4),4.0,0.0,4.0,,
16,,0.1,0.024619000000000155,0.024355951250000153,0.024887215000000157,0.0215000000000001,0.0489000000000008,1.1549883917894472,1.1281521378867276,1.182175363317286,0.5381727158948629,3.1799591002044694,1000,64.0,0.0,adaptive,static(k=4),4.0,0.0,4.0,,
16,,0.3,0.029378450000000278,0.029025112500000266,0.029737916250000294,0.0215000000000001,0.0498500000000009,1.3928472590556098,1.3605408822438385,1.4266647247724602,0.43303121852970206,3.1570247933884046,1000,64.0,0.0,adaptive,static(k=4),4.0,0.0,4.0,,
16,,0.5,0.0332872000000004,0.03291075875000038,0.0336594662500004,0.0218500000000001,0.0506500000000009,1.557330302416346,1.5239101185853572,1.589691475647194,0.4526315789473629,3.402930402930301,1000,64.0,0.0,adaptive,static(k=4),4.0,0.0,4.0,,
32,,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,adaptive,adaptive,1.0,0.0,1.0,,
32,,0.1,0.02773635000000025,0.02735699125000024,0.02816255500000026,0.0215000000000001,0.0498500000000009,1.2230100577661038,1.200806805587432,1.244432034483889,0.5835443037974621,2.693548387096684,1000,33.71,1.836102195214436,adaptive,adaptive,1.0534375,0.05737819360045113,2.357,,
32,,0.3,0.035183650000000455,0.03476445000000044,0.035605760000000465,0.0215000000000001,0.055400000000001,1.459672492043233,1.436434118681338,1.4831579670470179,0.651403249630719,3.003460207612377,1000,36.902,2.535907495715651,adaptive,adaptive,1.1531875,0.0792471092411141,3.581,,
