fabric,P,k,seed,condition,flows,lower_bound_violations,strict_flow_fraction,mean_rate_ratio,max_rate_ratio,sum_rate_ratio,placement_digest,capacity_digest,route_digest
3tier_nb,16,16,0,hot_spot,256,0,0.61328125,1.0585066414745932,1.2735926557456538,1.0621423836342594,37c8432e7e1de92c24cadb7af2950de4263654719dddeeff74b4124657e22388,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,a0690b31638b0498f47c87d90821781f38de3427b8a0bbc5614a68fdbb33e45f
3tier_nb,16,16,1,none,256,0,0.0,1.0,1.0,1.0,57ddb373795121d640976e60dc03fd1d506993e84bcc45ccf38756a597713dc0,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,29c1a5303f48054acc4442c2b4a175fbf54f8b3ca16318c4619c547aff3a4c48
3tier_nb,16,16,1,hot_spot,256,0,0.55859375,1.0527946932212346,1.3210354337637598,1.0555457397397314,57ddb373795121d640976e60dc03fd1d506993e84bcc45ccf38756a597713dc0,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,29c1a5303f48054acc4442c2b4a175fbf54f8b3ca16318c4619c547aff3a4c48
3tier_nb,16,16,2,none,256,0,0.0,1.0,1.0,1.0,8b00c9e94ddcc844f56411f485ebdfdae519f692f5941bec8a49e861554bf45e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,a0a144e8d55c195bf605c5b51ceb0422306e945870e02c4268120eaa48079bfd
3tier_nb,16,16,2,hot_spot,256,0,0.64453125,1.082245285646365,1.664457220843198,1.08961575937454,8b00c9e94ddcc844f56411f485ebdfdae519f692f5941bec8a49e861554bf45e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,a0a144e8d55c195bf605c5b51ceb0422306e945870e02c4268120eaa48079bfd
3tier_nb,16,16,3,none,256,0,0.0,1.0,1.0,1.0,e361216e608ac3ab5d22ad6cfe831725313c8ece5bb4aaddc0a916ef25160dcb,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,4c648c92423d5b63dd087f5c7d4a96283afbe3b5f5adacedff7b8de1e61d0d44
3tier_nb,16,16,3,hot_spot,256,0,0.59375,1.0477916530129678,1.2578083261677482,1.0501863089596049,e361216e608ac3ab5d22ad6cfe831725313c8ece5bb4aaddc0a916ef25160dcb,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,4c648c92423d5b63dd087f5c7d4a96283afbe3b5f5adacedff7b8de1e61d0d44
3tier_nb,16,16,4,none,256,0,0.0,1.0,1.0,1.0,f5a19348b3a14ea01ebb742edafdad5ec5b2d1c5b858ed381cd1d4c81c628cf7,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,aa56b89076b717bcfa47525f70cac9fc9cc6a07ccbe883bafacabb332a63ff96
3tier_nb,16,16,4,hot_spot,256,0,0.5625,1.1182523552569137,2.964834864395389,1.1308906850945502,f5a19348b3a14ea01ebb742edafdad5ec5b2d1c5b858ed381cd1d4c81c628cf7,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,aa56b89076b717bcfa47525f70cac9fc9cc6a07ccbe883bafacabb332a63ff96
3tier_nb,16,16,5,none,256,0,0.0,1.0,1.0,1.0,5f63580c45423263c6ba56a11e2d9e6b95bc56d08551e54c7fcc3c42212c46fc,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,a2da32921bd27a588638c4cb8a3e88e99a9dedc8531e9a2a7b3bc5fb7dc8bba5
