run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
36,350052001,64,0.3,adaptive,0.04830000000000087,3.265625,4
36,350052001,64,0.5,adaptive,0.06460000000000105,3.625,4
25,240051990,16,0.0,adaptive,0.02665000000000025,1.125,2
25,240051990,16,0.1,adaptive,0.03160000000000039,1.5625,3
25,240051990,16,0.3,adaptive,0.040400000000000644,2.9375,4
25,240051990,16,0.5,adaptive,0.0598500000000012,3.6875,4
25,240051990,64,0.0,adaptive,0.030350000000000356,1.3125,3
25,240051990,64,0.1,adaptive,0.04280000000000071,2.0625,4
25,240051990,64,0.3,adaptive,0.06915000000000054,3.25,4
25,240051990,64,0.5,adaptive,0.06845000000000062,3.796875,4
34,330051999,16,0.0,adaptive,0.021500000000000102,1.0,1
34,330051999,16,0.1,adaptive,0.03375000000000045,1.625,4
34,330051999,16,0.3,adaptive,0.048100000000000864,3.6875,4
34,330051999,16,0.5,adaptive,0.05350000000000102,3.4375,4
34,330051999,64,0.0,adaptive,0.02665000000000025,1.140625,2
34,330051999,64,0.1,adaptive,0.036600000000000535,1.90625,4
34,330051999,64,0.3,adaptive,0.07914999999999944,3.296875,4
34,330051999,64,0.5,adaptive,0.05600000000000109,3.59375,4
33,320051998,16,0.0,adaptive,0.021500000000000102,1.0,1
33,320051998,16,0.1,adaptive,0.03050000000000036,1.6875,3
33,320051998,16,0.3,adaptive,0.041150000000000665,3.1875,4
33,320051998,16,0.5,adaptive,0.051950000000000975,3.8125,4
33,320051998,64,0.0,adaptive,0.03055000000000036,1.296875,3
33,320051998,64,0.1,adaptive,0.05840000000000116,2.046875,4
33,320051998,64,0.3,adaptive,0.0597500000000012,3.15625,4
33,320051998,64,0.5,adaptive,0.07265000000000016,3.71875,4
26,250051991,16,0.0,adaptive,0.021500000000000102,1.0,1
26,250051991,16,0.1,adaptive,0.03950000000000062,2.1875,4
26,250051991,16,0.3,adaptive,0.04195000000000069,2.875,4
26,250051991,16,0.5,adaptive,0.048850000000000886,3.625,4
26,250051991,64,0.0,adaptive,0.03475000000000048,1.375,4
26,250051991,64,0.1,adaptive,0.04420000000000075,2.46875,4
26,250051991,64,0.3,adaptive,0.0786499999999995,2.984375,4
26,250051991,64,0.5,adaptive,0.09214999999999801,3.8125,4
38,370052003,16,0.0,adaptive,0.03430000000000047,1.4375,4
38,370052003,16,0.1,adaptive,0.03430000000000047,1.75,4
38,370052003,16,0.3,adaptive,0.0493500000000009,3.4375,4
38,370052003,16,0.5,adaptive,0.05940000000000119,3.25,4
38,370052003,64,0.0,adaptive,0.03430000000000047,1.375,4
38,370052003,64,0.1,adaptive,0.03775000000000057,2.125,4
38,370052003,64,0.3,adaptive,0.07879999999999948,3.171875,4
38,370052003,64,0.5,adaptive,0.0598500000000012,3.484375,4
39,380052004,16,0.0,adaptive,0.021500000000000102,1.0,1
39,380052004,16,0.1,adaptive,0.03570000000000051,1.6875,4
