ring_size,k,affected_fraction,speedup,speedup_ci_low,speedup_ci_high,n_seeds,total_qps,experiment,method,k_mean
8,2,0.5,1.6714246043801708,1.652621116173841,1.6899183527532422,1000,16,static,,2
8,4,0.5,2.3004434108167815,2.2727022964215533,2.328841702698812,1000,32,static,,4
8,8,0.5,2.9517211486301833,2.9192591348969446,2.9848266862285304,1000,64,static,,8
16,1,0.0,1.0,1.0,1.0,1000,16,static,,1
16,2,0.0,1.2265870262894005,1.2009094180901474,1.2518913415134427,1000,32,static,,2
16,4,0.0,1.273308567482588,1.2458139504100347,1.3006578216819773,1000,64,static,,4
16,8,0.0,1.281057903266478,1.253057838570458,1.308951337155069,1000,128,static,,8
16,1,0.1,1.0,1.0,1.0,1000,16,static,,1
16,2,0.1,1.4848854482323222,1.465367238093765,1.503776015132854,1000,32,static,,2
16,4,0.1,1.9266138515763387,1.895578476067933,1.9583207441117063,1000,64,static,,4
16,8,0.1,2.2435486797051656,2.208875747248549,2.2791871338598306,1000,128,static,,8
16,1,0.3,1.0,1.0,1.0,1000,16,static,,1
16,2,0.3,1.615381833459199,1.5962338225997954,1.6340693708843657,1000,32,static,,2
16,4,0.3,2.1990426634633775,2.1704599684557615,2.2275487477014186,1000,64,static,,4
16,8,0.3,2.78138577720514,2.7476947817254125,2.814489647884883,1000,128,static,,8
16,1,0.5,1.0,1.0,1.0,1000,16,static,,1
16,2,0.5,1.6111217417604735,1.5936411322387871,1.629249718541442,1000,32,static,,2
16,4,0.5,2.2245822718102013,2.200050638883632,2.248825987684412,1000,64,static,,4
16,8,0.5,2.907882617605109,2.8783138405922606,2.936534125280444,1000,128,static,,8
32,1,0.0,1.0,1.0,1.0,1000,32,static,,1
32,2,0.0,1.5147653556732958,1.4871070644926918,1.5435391602473894,1000,64,static,,2
32,4,0.0,1.7121940282589974,1.6852763706816567,1.7403004292524007,1000,128,static,,4
32,8,0.0,1.7518269958984587,1.7244567926843657,1.78063634548108,1000,256,static,,8
32,1,0.1,1.0,1.0,1.0,1000,32,static,,1
32,2,0.1,1.536308201341548,1.516638051335918,1.555429562620519,1000,64,static,,2
